Loại dữ liệu lms,Load dữ liệu lên màn hình,Collect user data,System action,Điều kiện chấm,Giá trị LMS + Question,
"Câu hỏi dạng speaking - unscripted
",Không,Voice,none,"AI xác định liên quan/không liên quan
1. Trả lời liên quan","{
  ""lms"": {
    ""type"": ""practice""
  },
  ""question"": {
    ""id"": 1,
    ""content"": 'What is the weather today?',
    ""type"": 'speaking_unscripted'
  }
}",user_answer.content_evaluation == accordant
,,,,2. Trả lời không biết,,user_answer.content_evaluation == lack_of_knowledge 
,,,,"3. Các trường hợp còn lại
 - Nằm ngoài 2 trường hợp trên(trả lời không liên quan, tiêu cực, hỏi lại giáo viên)",,OTHER
,,,,Im lặng,,NO_ANSWER
Câu hỏi dạng speaking - unscripted + objects,Không,Voice,"highlight_elements ([""user_answer.ids""] hoặc object ids array)",1)Trả lời liên quan >= 50% object chính,"{
  lms: {
    type: practice
  },
  question: {
    id: 1,
    content: 'What can you see?',
    type: 'speaking_unscripted'
  }
}",user_answer.main_length > 0 && objects.main_length > 0 && user_answer.main_length >= 0.5*objects.main_length
,,,,"2)Trả lời liên quan < 50% (object chính + object liên quan)
",,user_answer.length > 0 && objects.length > 0 && user_answer.length < 0.5*objects.length
,,,,"3) Trả lời không chứa object chính, nhưng có object liên quan
",,user_answer.main_length <= 0 && user_answer.relevant_length >= 1
,,,,"4) Ngoài 3 trường hợp trên
",,OTHER
,,,,"Lượt 2( là lượt hỏi lại khi rơi vào 2,3,4)
1)Trả lời liên quan đến object chính/ object liên quan",,user_answer.main_length > 0 ||  user_answer.relevant_length > 0
,,,,"Lượt 2( là lượt hỏi lại khi rơi vào 2,3,4)
2) Ngoài 1 trường hợp trên",,OTHER
Câu hỏi dạng Speaking -Scripted,Không,Voice,show_pronunciation_result (text ids array),"Chấm phát âm trung bình
1. Phát âm đúng (>60%)
","{
  lms: {
    type: practice
  },
  question: {
    id: 3,
    content: 'Is it a butterfly?',
    transcript: 'butterfly',
    type: 'speaking_scripted'
  }
}",user_answer.pronunciation >= 60
,,,,"Chấm phát âm trung bình
2. Phát âm chưa đúng (< 60%)",,user_answer.pronunciation < 60
Câu hỏi dạng Speaking -Scripted + Objects,Không,Voice,"highlight_elements (object ids array), show_pronunciation_result (text ids array)","Chấm phát âm trung bình
1. Phát âm đúng (>60%)
","{
  lms: {
    type: practice
  },
  question: {
    id: 4,
    content: 'Is it a butterfly?',
    transcript: 'butterfly',
    type: 'speaking_scripted',
    
  }
}",user_answer.pronunciation >= 60
,,,,"Chấm phát âm trung bình
2. Phát âm chưa đúng (< 60%)",,user_answer.pronunciation < 60
